SrNo,NIMS_ID,k,tigerid,OPERATI+E:MONAL_CUSTOMER_REPC,REPC_SERVICE_ABBR,CIRCUIT_ISSUE_DATE,,pending_with,reason_of_pending,CRFS date,Config date,Pending,Assigned,testing date,TAT for testing
2568,L78X-PYEX 1291ISID5139,Cancel,806829,11417 - COLT TECHNOLOGY SERVICES,GLOBETH,01-12-2015 08:30:38,AKARMUR,,,30 Dec 99,,Complete,Amol,,
2569,SVWX-SVWX OMS208,Provide,806505,20474 - TATA COMMUNICATIONS INTERNATIONAL PTE. LTD,*N/A*,01-12-2015 09:06:11,KKHADE,BOP,No role,,,,,,
2570,MTTX-N0VX VC3S0006,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:45:22,PMORASAK,,,,,Complete,Abhilasha,,
2571,MTTX-NJNX 24N011,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:45:45,PMORASAK,,,,,Complete,Abhilasha,,
2572,MTTX-NJNX 24N012,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:45:57,PMORASAK,,,,,Complete,Abhilasha,,
2573,MTTX-NJNX 24N013,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:46:09,PMORASAK,,,,,Complete,Abhilasha,,
2574,MTTX-NJNX 24N014,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:46:22,PMORASAK,,,,,Complete,Abhilasha,,
2575,MTTX-NJNX 24N015,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:46:37,PMORASAK,,,,,Complete,Abhilasha,,
2576,MTTX-NJNX 24N016,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:46:51,PMORASAK,,,,,Complete,Abhilasha,,
2577,MTTX-NJNX 24N017,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:47:05,PMORASAK,,,,,Complete,Abhilasha,,
2578,MTTX-NJNX 24N018,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:47:18,PMORASAK,,,,,Complete,Abhilasha,,
2579,MTTX-NJNX 24N019,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:47:30,PMORASAK,,,,,Complete,Abhilasha,,
2580,MTTX-NJNX 24N020,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:47:43,PMORASAK,,,,,Complete,Abhilasha,,
2581,MTTX-NJNX 24N021,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:47:55,PMORASAK,,,,,Complete,Abhilasha,,
2582,N0VX-NJNX 1T3,Provide,799187,"18788 - WILTEL COMMUNICATIONS, LLC",VTS,01-12-2015 09:50:17,PMORASAK,,,,,Complete,Abhilasha,,
2583,S44X-VR7X 1G0001,Provide,800629,28760 - INTERACTIVE DATA AUSTRALIA PTY LTD,GLOBETH,01-12-2015 10:21:41,PPRABHUD,,,,,Complete,Amol,,
2584,L90X-LVWX 194.400THZ001,Provide,806380,20474 - TATA COMMUNICATIONS INTERNATIONAL PTE. LTD,*N/A*,01-12-2015 10:38:27,AVIPATIL,BOP,No role,,,,,,
2585,0Q3X-A91X 100M0001,Cancel,806565,27048 - VERIZON COMMUNICATIONS INDIA PVT LTD,GLOBETH,01-12-2015 10:58:15,YSOMI,SDCNOC,,30 Dec 99,,Complete,Shashank,,
